============================================================================
ERA5 ZARR INTEGRITY CHECK
============================================================================
root   : /home/tahiti/ConserveFM/data/ERA5_WeatherBench2_1979_2022
repair : True
[INFO] geopotential                   shape=(93544, 13, 240, 121) chunks=(8, 13, 240, 121)
[INFO] temperature                    shape=(93544, 13, 240, 121) chunks=(8, 13, 240, 121)
[INFO] specific_humidity              shape=(93544, 13, 240, 121) chunks=(8, 13, 240, 121)
[INFO] u_component_of_wind            shape=(93544, 13, 240, 121) chunks=(8, 13, 240, 121)
[INFO] v_component_of_wind            shape=(93544, 13, 240, 121) chunks=(8, 13, 240, 121)
[INFO] 2m_temperature                 shape=(93544, 240, 121) chunks=(8, 240, 121)
[INFO] 10m_u_component_of_wind        shape=(93544, 240, 121) chunks=(8, 240, 121)
[INFO] 10m_v_component_of_wind        shape=(93544, 240, 121) chunks=(8, 240, 121)
[INFO] mean_sea_level_pressure        shape=(93544, 240, 121) chunks=(8, 240, 121)
[INFO] surface_pressure               shape=(93544, 240, 121) chunks=(8, 240, 121)
[INFO] total_precipitation_6hr        shape=(93544, 240, 121) chunks=(8, 240, 121)
[INFO] total time chunks = 128,623

[VARIABLE] geopotential chunks=11,693
[PROGRESS] 250/128,623 0.19% bad=0 repaired=0 failed=0 speed=1613.6 chunks/s ETA=1.3 min
[PROGRESS] 500/128,623 0.39% bad=0 repaired=0 failed=0 speed=1687.0 chunks/s ETA=1.3 min
[PROGRESS] 750/128,623 0.58% bad=0 repaired=0 failed=0 speed=1709.2 chunks/s ETA=1.2 min
[PROGRESS] 48,750/128,623 37.90% bad=9 repaired=9 failed=0 speed=156.2 chunks/s ETA=8.5 min
[PROGRESS] 49,000/128,623 38.10% bad=9 repaired=9 failed=0 speed=156.9 chunks/s ETA=8.5 min
[PROGRESS] 49,250/128,623 38.29% bad=9 repaired=9 failed=0 speed=157.6 chunks/s ETA=8.4 min
[PROGRESS] 49,500/128,623 38.48% bad=9 repaired=9 failed=0 speed=158.4 chunks/s ETA=8.3 min
[PROGRESS] 49,750/128,623 38.68% bad=9 repaired=9 failed=0 speed=159.1 chunks/s ETA=8.3 min
[PROGRESS] 50,000/128,623 38.87% bad=9 repaired=9 failed=0 speed=159.8 chunks/s ETA=8.2 min
[PROGRESS] 50,250/128,623 39.07% bad=9 repaired=9 failed=0 speed=160.5 chunks/s ETA=8.1 min
[PROGRESS] 50,500/128,623 39.26% bad=9 repaired=9 failed=0 speed=160.9 chunks/s ETA=8.1 min
[PROGRESS] 50,750/128,623 39.46% bad=9 repaired=9 failed=0 speed=160.5 chunks/s ETA=8.1 min
[PROGRESS] 51,000/128,623 39.65% bad=9 repaired=9 failed=0 speed=160.0 chunks/s ETA=8.1 min
[PROGRESS] 51,250/128,623 39.85% bad=9 repaired=9 failed=0 speed=159.6 chunks/s ETA=8.1 min
[PROGRESS] 51,500/128,623 40.04% bad=9 repaired=9 failed=0 speed=159.2 chunks/s ETA=8.1 min
[PROGRESS] 51,750/128,623 40.23% bad=9 repaired=9 failed=0 speed=158.8 chunks/s ETA=8.1 min
[PROGRESS] 52,000/128,623 40.43% bad=9 repaired=9 failed=0 speed=158.3 chunks/s ETA=8.1 min
[PROGRESS] 52,250/128,623 40.62% bad=9 repaired=9 failed=0 speed=157.9 chunks/s ETA=8.1 min
[PROGRESS] 52,500/128,623 40.82% bad=9 repaired=9 failed=0 speed=157.5 chunks/s ETA=8.1 min
[PROGRESS] 52,750/128,623 41.01% bad=9 repaired=9 failed=0 speed=157.0 chunks/s ETA=8.1 min
[PROGRESS] 53,000/128,623 41.21% bad=9 repaired=9 failed=0 speed=156.4 chunks/s ETA=8.1 min
[PROGRESS] 53,250/128,623 41.40% bad=9 repaired=9 failed=0 speed=156.0 chunks/s ETA=8.1 min
[PROGRESS] 53,500/128,623 41.59% bad=9 repaired=9 failed=0 speed=155.7 chunks/s ETA=8.0 min
[PROGRESS] 53,750/128,623 41.79% bad=9 repaired=9 failed=0 speed=155.3 chunks/s ETA=8.0 min
[PROGRESS] 54,000/128,623 41.98% bad=9 repaired=9 failed=0 speed=154.9 chunks/s ETA=8.0 min
[PROGRESS] 54,250/128,623 42.18% bad=9 repaired=9 failed=0 speed=154.4 chunks/s ETA=8.0 min
[PROGRESS] 54,500/128,623 42.37% bad=9 repaired=9 failed=0 speed=154.1 chunks/s ETA=8.0 min
[PROGRESS] 54,750/128,623 42.57% bad=9 repaired=9 failed=0 speed=153.4 chunks/s ETA=8.0 min
[PROGRESS] 55,000/128,623 42.76% bad=9 repaired=9 failed=0 speed=153.1 chunks/s ETA=8.0 min
[PROGRESS] 55,250/128,623 42.95% bad=9 repaired=9 failed=0 speed=152.8 chunks/s ETA=8.0 min
[PROGRESS] 55,500/128,623 43.15% bad=9 repaired=9 failed=0 speed=152.4 chunks/s ETA=8.0 min
[PROGRESS] 55,750/128,623 43.34% bad=9 repaired=9 failed=0 speed=152.1 chunks/s ETA=8.0 min
[PROGRESS] 56,000/128,623 43.54% bad=9 repaired=9 failed=0 speed=151.8 chunks/s ETA=8.0 min
[PROGRESS] 56,250/128,623 43.73% bad=9 repaired=9 failed=0 speed=151.5 chunks/s ETA=8.0 min
[PROGRESS] 56,500/128,623 43.93% bad=9 repaired=9 failed=0 speed=151.3 chunks/s ETA=7.9 min
[PROGRESS] 56,750/128,623 44.12% bad=9 repaired=9 failed=0 speed=151.0 chunks/s ETA=7.9 min
[PROGRESS] 57,000/128,623 44.32% bad=9 repaired=9 failed=0 speed=150.7 chunks/s ETA=7.9 min
[PROGRESS] 57,250/128,623 44.51% bad=9 repaired=9 failed=0 speed=150.4 chunks/s ETA=7.9 min
[PROGRESS] 57,500/128,623 44.70% bad=9 repaired=9 failed=0 speed=150.1 chunks/s ETA=7.9 min
[PROGRESS] 57,750/128,623 44.90% bad=9 repaired=9 failed=0 speed=149.9 chunks/s ETA=7.9 min
[PROGRESS] 58,000/128,623 45.09% bad=9 repaired=9 failed=0 speed=149.6 chunks/s ETA=7.9 min
[PROGRESS] 58,250/128,623 45.29% bad=9 repaired=9 failed=0 speed=149.3 chunks/s ETA=7.9 min

[VARIABLE] 2m_temperature chunks=11,693
[PROGRESS] 58,500/128,623 45.48% bad=9 repaired=9 failed=0 speed=149.1 chunks/s ETA=7.8 min
[PROGRESS] 58,750/128,623 45.68% bad=9 repaired=9 failed=0 speed=149.7 chunks/s ETA=7.8 min
[PROGRESS] 59,000/128,623 45.87% bad=9 repaired=9 failed=0 speed=150.3 chunks/s ETA=7.7 min
[PROGRESS] 59,250/128,623 46.06% bad=9 repaired=9 failed=0 speed=151.0 chunks/s ETA=7.7 min
[PROGRESS] 59,500/128,623 46.26% bad=9 repaired=9 failed=0 speed=151.6 chunks/s ETA=7.6 min
[PROGRESS] 59,750/128,623 46.45% bad=9 repaired=9 failed=0 speed=152.2 chunks/s ETA=7.5 min
[PROGRESS] 60,000/128,623 46.65% bad=9 repaired=9 failed=0 speed=152.8 chunks/s ETA=7.5 min
[PROGRESS] 60,250/128,623 46.84% bad=9 repaired=9 failed=0 speed=153.5 chunks/s ETA=7.4 min
[PROGRESS] 60,500/128,623 47.04% bad=9 repaired=9 failed=0 speed=154.1 chunks/s ETA=7.4 min
[PROGRESS] 60,750/128,623 47.23% bad=9 repaired=9 failed=0 speed=154.7 chunks/s ETA=7.3 min
[PROGRESS] 61,000/128,623 47.43% bad=9 repaired=9 failed=0 speed=155.4 chunks/s ETA=7.3 min
[PROGRESS] 61,250/128,623 47.62% bad=9 repaired=9 failed=0 speed=156.0 chunks/s ETA=7.2 min
[PROGRESS] 61,500/128,623 47.81% bad=9 repaired=9 failed=0 speed=156.6 chunks/s ETA=7.1 min
[PROGRESS] 61,750/128,623 48.01% bad=9 repaired=9 failed=0 speed=157.2 chunks/s ETA=7.1 min
[PROGRESS] 62,000/128,623 48.20% bad=9 repaired=9 failed=0 speed=157.9 chunks/s ETA=7.0 min
[PROGRESS] 62,250/128,623 48.40% bad=9 repaired=9 failed=0 speed=158.4 chunks/s ETA=7.0 min
[PROGRESS] 62,500/128,623 48.59% bad=9 repaired=9 failed=0 speed=158.9 chunks/s ETA=6.9 min
[PROGRESS] 62,750/128,623 48.79% bad=9 repaired=9 failed=0 speed=159.3 chunks/s ETA=6.9 min
[PROGRESS] 63,000/128,623 48.98% bad=9 repaired=9 failed=0 speed=159.8 chunks/s ETA=6.8 min
[PROGRESS] 63,250/128,623 49.17% bad=9 repaired=9 failed=0 speed=160.3 chunks/s ETA=6.8 min
[PROGRESS] 63,500/128,623 49.37% bad=9 repaired=9 failed=0 speed=160.7 chunks/s ETA=6.8 min
[PROGRESS] 63,750/128,623 49.56% bad=9 repaired=9 failed=0 speed=161.2 chunks/s ETA=6.7 min
[PROGRESS] 64,000/128,623 49.76% bad=9 repaired=9 failed=0 speed=161.7 chunks/s ETA=6.7 min
[PROGRESS] 64,250/128,623 49.95% bad=9 repaired=9 failed=0 speed=162.1 chunks/s ETA=6.6 min
[PROGRESS] 64,500/128,623 50.15% bad=9 repaired=9 failed=0 speed=162.6 chunks/s ETA=6.6 min
[PROGRESS] 64,750/128,623 50.34% bad=9 repaired=9 failed=0 speed=163.1 chunks/s ETA=6.5 min
[PROGRESS] 65,000/128,623 50.54% bad=9 repaired=9 failed=0 speed=163.6 chunks/s ETA=6.5 min
[PROGRESS] 65,250/128,623 50.73% bad=9 repaired=9 failed=0 speed=164.1 chunks/s ETA=6.4 min
[PROGRESS] 65,500/128,623 50.92% bad=9 repaired=9 failed=0 speed=164.5 chunks/s ETA=6.4 min
[PROGRESS] 65,750/128,623 51.12% bad=9 repaired=9 failed=0 speed=165.0 chunks/s ETA=6.4 min
[PROGRESS] 66,000/128,623 51.31% bad=9 repaired=9 failed=0 speed=165.5 chunks/s ETA=6.3 min
[PROGRESS] 66,250/128,623 51.51% bad=9 repaired=9 failed=0 speed=165.9 chunks/s ETA=6.3 min
[PROGRESS] 66,500/128,623 51.70% bad=9 repaired=9 failed=0 speed=166.4 chunks/s ETA=6.2 min
[PROGRESS] 66,750/128,623 51.90% bad=9 repaired=9 failed=0 speed=166.9 chunks/s ETA=6.2 min
[PROGRESS] 67,000/128,623 52.09% bad=9 repaired=9 failed=0 speed=167.3 chunks/s ETA=6.1 min
[PROGRESS] 67,250/128,623 52.28% bad=9 repaired=9 failed=0 speed=167.8 chunks/s ETA=6.1 min
[PROGRESS] 67,500/128,623 52.48% bad=9 repaired=9 failed=0 speed=168.2 chunks/s ETA=6.1 min
[PROGRESS] 67,750/128,623 52.67% bad=9 repaired=9 failed=0 speed=168.6 chunks/s ETA=6.0 min
[PROGRESS] 68,000/128,623 52.87% bad=9 repaired=9 failed=0 speed=169.1 chunks/s ETA=6.0 min
[PROGRESS] 68,250/128,623 53.06% bad=9 repaired=9 failed=0 speed=169.5 chunks/s ETA=5.9 min
[PROGRESS] 68,500/128,623 53.26% bad=9 repaired=9 failed=0 speed=170.0 chunks/s ETA=5.9 min
[PROGRESS] 68,750/128,623 53.45% bad=9 repaired=9 failed=0 speed=170.4 chunks/s ETA=5.9 min
[PROGRESS] 69,000/128,623 53.65% bad=9 repaired=9 failed=0 speed=170.9 chunks/s ETA=5.8 min
[PROGRESS] 69,250/128,623 53.84% bad=9 repaired=9 failed=0 speed=171.3 chunks/s ETA=5.8 min
[PROGRESS] 69,500/128,623 54.03% bad=9 repaired=9 failed=0 speed=171.8 chunks/s ETA=5.7 min
[PROGRESS] 69,750/128,623 54.23% bad=9 repaired=9 failed=0 speed=172.3 chunks/s ETA=5.7 min
[PROGRESS] 70,000/128,623 54.42% bad=9 repaired=9 failed=0 speed=172.7 chunks/s ETA=5.7 min

[VARIABLE] 10m_u_component_of_wind chunks=11,693
[PROGRESS] 70,250/128,623 54.62% bad=9 repaired=9 failed=0 speed=173.2 chunks/s ETA=5.6 min
[PROGRESS] 70,500/128,623 54.81% bad=9 repaired=9 failed=0 speed=173.8 chunks/s ETA=5.6 min
[PROGRESS] 70,750/128,623 55.01% bad=9 repaired=9 failed=0 speed=174.4 chunks/s ETA=5.5 min
[PROGRESS] 71,000/128,623 55.20% bad=9 repaired=9 failed=0 speed=175.0 chunks/s ETA=5.5 min
[PROGRESS] 71,250/128,623 55.39% bad=9 repaired=9 failed=0 speed=175.7 chunks/s ETA=5.4 min
[PROGRESS] 71,500/128,623 55.59% bad=9 repaired=9 failed=0 speed=176.3 chunks/s ETA=5.4 min
[PROGRESS] 71,750/128,623 55.78% bad=9 repaired=9 failed=0 speed=176.9 chunks/s ETA=5.4 min
[PROGRESS] 72,000/128,623 55.98% bad=9 repaired=9 failed=0 speed=177.5 chunks/s ETA=5.3 min
[PROGRESS] 72,250/128,623 56.17% bad=9 repaired=9 failed=0 speed=178.1 chunks/s ETA=5.3 min
[PROGRESS] 72,500/128,623 56.37% bad=9 repaired=9 failed=0 speed=178.7 chunks/s ETA=5.2 min
[PROGRESS] 72,750/128,623 56.56% bad=9 repaired=9 failed=0 speed=179.3 chunks/s ETA=5.2 min
[PROGRESS] 73,000/128,623 56.76% bad=9 repaired=9 failed=0 speed=179.9 chunks/s ETA=5.2 min
[PROGRESS] 73,250/128,623 56.95% bad=9 repaired=9 failed=0 speed=180.5 chunks/s ETA=5.1 min
[PROGRESS] 73,500/128,623 57.14% bad=9 repaired=9 failed=0 speed=181.1 chunks/s ETA=5.1 min
[PROGRESS] 73,750/128,623 57.34% bad=9 repaired=9 failed=0 speed=181.7 chunks/s ETA=5.0 min
[PROGRESS] 74,000/128,623 57.53% bad=9 repaired=9 failed=0 speed=182.1 chunks/s ETA=5.0 min
[PROGRESS] 74,250/128,623 57.73% bad=9 repaired=9 failed=0 speed=182.5 chunks/s ETA=5.0 min
[PROGRESS] 74,500/128,623 57.92% bad=9 repaired=9 failed=0 speed=183.0 chunks/s ETA=4.9 min
[PROGRESS] 74,750/128,623 58.12% bad=9 repaired=9 failed=0 speed=183.4 chunks/s ETA=4.9 min
[PROGRESS] 75,000/128,623 58.31% bad=9 repaired=9 failed=0 speed=183.8 chunks/s ETA=4.9 min
[PROGRESS] 75,250/128,623 58.50% bad=9 repaired=9 failed=0 speed=184.2 chunks/s ETA=4.8 min
[PROGRESS] 75,500/128,623 58.70% bad=9 repaired=9 failed=0 speed=184.6 chunks/s ETA=4.8 min
[PROGRESS] 75,750/128,623 58.89% bad=9 repaired=9 failed=0 speed=185.0 chunks/s ETA=4.8 min
[PROGRESS] 76,000/128,623 59.09% bad=9 repaired=9 failed=0 speed=185.4 chunks/s ETA=4.7 min
[PROGRESS] 76,250/128,623 59.28% bad=9 repaired=9 failed=0 speed=185.8 chunks/s ETA=4.7 min
[PROGRESS] 76,500/128,623 59.48% bad=9 repaired=9 failed=0 speed=186.2 chunks/s ETA=4.7 min
[PROGRESS] 76,750/128,623 59.67% bad=9 repaired=9 failed=0 speed=186.6 chunks/s ETA=4.6 min
[PROGRESS] 77,000/128,623 59.86% bad=9 repaired=9 failed=0 speed=187.0 chunks/s ETA=4.6 min
[PROGRESS] 77,250/128,623 60.06% bad=9 repaired=9 failed=0 speed=187.4 chunks/s ETA=4.6 min
[PROGRESS] 77,500/128,623 60.25% bad=9 repaired=9 failed=0 speed=187.8 chunks/s ETA=4.5 min
[PROGRESS] 77,750/128,623 60.45% bad=9 repaired=9 failed=0 speed=188.2 chunks/s ETA=4.5 min
[PROGRESS] 78,000/128,623 60.64% bad=9 repaired=9 failed=0 speed=188.6 chunks/s ETA=4.5 min
[PROGRESS] 78,250/128,623 60.84% bad=9 repaired=9 failed=0 speed=189.0 chunks/s ETA=4.4 min
[PROGRESS] 78,500/128,623 61.03% bad=9 repaired=9 failed=0 speed=189.4 chunks/s ETA=4.4 min
[PROGRESS] 78,750/128,623 61.23% bad=9 repaired=9 failed=0 speed=189.8 chunks/s ETA=4.4 min
[PROGRESS] 79,000/128,623 61.42% bad=9 repaired=9 failed=0 speed=190.3 chunks/s ETA=4.3 min
[PROGRESS] 79,250/128,623 61.61% bad=9 repaired=9 failed=0 speed=190.7 chunks/s ETA=4.3 min
[PROGRESS] 79,500/128,623 61.81% bad=9 repaired=9 failed=0 speed=191.1 chunks/s ETA=4.3 min
[PROGRESS] 79,750/128,623 62.00% bad=9 repaired=9 failed=0 speed=191.5 chunks/s ETA=4.3 min
[PROGRESS] 80,000/128,623 62.20% bad=9 repaired=9 failed=0 speed=191.9 chunks/s ETA=4.2 min
[PROGRESS] 80,250/128,623 62.39% bad=9 repaired=9 failed=0 speed=192.3 chunks/s ETA=4.2 min
[PROGRESS] 80,500/128,623 62.59% bad=9 repaired=9 failed=0 speed=192.6 chunks/s ETA=4.2 min
[PROGRESS] 80,750/128,623 62.78% bad=9 repaired=9 failed=0 speed=193.0 chunks/s ETA=4.1 min
[PROGRESS] 81,000/128,623 62.97% bad=9 repaired=9 failed=0 speed=193.4 chunks/s ETA=4.1 min
[PROGRESS] 81,250/128,623 63.17% bad=9 repaired=9 failed=0 speed=193.9 chunks/s ETA=4.1 min
[PROGRESS] 81,500/128,623 63.36% bad=9 repaired=9 failed=0 speed=194.3 chunks/s ETA=4.0 min
[PROGRESS] 81,750/128,623 63.56% bad=9 repaired=9 failed=0 speed=194.7 chunks/s ETA=4.0 min

[VARIABLE] 10m_v_component_of_wind chunks=11,693
[PROGRESS] 82,000/128,623 63.75% bad=9 repaired=9 failed=0 speed=195.2 chunks/s ETA=4.0 min
[PROGRESS] 82,250/128,623 63.95% bad=9 repaired=9 failed=0 speed=195.8 chunks/s ETA=3.9 min
[PROGRESS] 82,500/128,623 64.14% bad=9 repaired=9 failed=0 speed=196.3 chunks/s ETA=3.9 min
[PROGRESS] 82,750/128,623 64.34% bad=9 repaired=9 failed=0 speed=196.9 chunks/s ETA=3.9 min
[PROGRESS] 83,000/128,623 64.53% bad=9 repaired=9 failed=0 speed=197.5 chunks/s ETA=3.8 min
[PROGRESS] 83,250/128,623 64.72% bad=9 repaired=9 failed=0 speed=198.1 chunks/s ETA=3.8 min
[PROGRESS] 83,500/128,623 64.92% bad=9 repaired=9 failed=0 speed=198.7 chunks/s ETA=3.8 min
[PROGRESS] 83,750/128,623 65.11% bad=9 repaired=9 failed=0 speed=199.3 chunks/s ETA=3.8 min
[PROGRESS] 84,000/128,623 65.31% bad=9 repaired=9 failed=0 speed=199.8 chunks/s ETA=3.7 min
[PROGRESS] 84,250/128,623 65.50% bad=9 repaired=9 failed=0 speed=200.4 chunks/s ETA=3.7 min
[PROGRESS] 84,500/128,623 65.70% bad=9 repaired=9 failed=0 speed=201.0 chunks/s ETA=3.7 min
[PROGRESS] 84,750/128,623 65.89% bad=9 repaired=9 failed=0 speed=201.6 chunks/s ETA=3.6 min
[PROGRESS] 85,000/128,623 66.08% bad=9 repaired=9 failed=0 speed=202.2 chunks/s ETA=3.6 min
[PROGRESS] 85,250/128,623 66.28% bad=9 repaired=9 failed=0 speed=202.7 chunks/s ETA=3.6 min
[PROGRESS] 85,500/128,623 66.47% bad=9 repaired=9 failed=0 speed=203.3 chunks/s ETA=3.5 min
[PROGRESS] 85,750/128,623 66.67% bad=9 repaired=9 failed=0 speed=203.7 chunks/s ETA=3.5 min
[PROGRESS] 86,000/128,623 66.86% bad=9 repaired=9 failed=0 speed=204.1 chunks/s ETA=3.5 min
[PROGRESS] 86,250/128,623 67.06% bad=9 repaired=9 failed=0 speed=204.5 chunks/s ETA=3.5 min
[PROGRESS] 86,500/128,623 67.25% bad=9 repaired=9 failed=0 speed=204.9 chunks/s ETA=3.4 min
[PROGRESS] 86,750/128,623 67.45% bad=9 repaired=9 failed=0 speed=205.3 chunks/s ETA=3.4 min
[PROGRESS] 87,000/128,623 67.64% bad=9 repaired=9 failed=0 speed=205.6 chunks/s ETA=3.4 min
[PROGRESS] 87,250/128,623 67.83% bad=9 repaired=9 failed=0 speed=205.9 chunks/s ETA=3.3 min
[PROGRESS] 87,500/128,623 68.03% bad=9 repaired=9 failed=0 speed=206.3 chunks/s ETA=3.3 min
[PROGRESS] 87,750/128,623 68.22% bad=9 repaired=9 failed=0 speed=206.7 chunks/s ETA=3.3 min
[PROGRESS] 88,000/128,623 68.42% bad=9 repaired=9 failed=0 speed=207.0 chunks/s ETA=3.3 min
[PROGRESS] 88,250/128,623 68.61% bad=9 repaired=9 failed=0 speed=207.3 chunks/s ETA=3.2 min
[PROGRESS] 88,500/128,623 68.81% bad=9 repaired=9 failed=0 speed=207.7 chunks/s ETA=3.2 min
[PROGRESS] 88,750/128,623 69.00% bad=9 repaired=9 failed=0 speed=208.0 chunks/s ETA=3.2 min
[PROGRESS] 89,000/128,623 69.19% bad=9 repaired=9 failed=0 speed=208.4 chunks/s ETA=3.2 min
[PROGRESS] 89,250/128,623 69.39% bad=9 repaired=9 failed=0 speed=208.8 chunks/s ETA=3.1 min
[PROGRESS] 89,500/128,623 69.58% bad=9 repaired=9 failed=0 speed=209.2 chunks/s ETA=3.1 min
[PROGRESS] 89,750/128,623 69.78% bad=9 repaired=9 failed=0 speed=209.6 chunks/s ETA=3.1 min
[PROGRESS] 90,000/128,623 69.97% bad=9 repaired=9 failed=0 speed=210.0 chunks/s ETA=3.1 min
[PROGRESS] 90,250/128,623 70.17% bad=9 repaired=9 failed=0 speed=210.4 chunks/s ETA=3.0 min
[PROGRESS] 90,500/128,623 70.36% bad=9 repaired=9 failed=0 speed=210.8 chunks/s ETA=3.0 min
[PROGRESS] 90,750/128,623 70.56% bad=9 repaired=9 failed=0 speed=211.2 chunks/s ETA=3.0 min
[PROGRESS] 91,000/128,623 70.75% bad=9 repaired=9 failed=0 speed=211.6 chunks/s ETA=3.0 min
[PROGRESS] 91,250/128,623 70.94% bad=9 repaired=9 failed=0 speed=212.0 chunks/s ETA=2.9 min
[PROGRESS] 91,500/128,623 71.14% bad=9 repaired=9 failed=0 speed=212.4 chunks/s ETA=2.9 min
[PROGRESS] 91,750/128,623 71.33% bad=9 repaired=9 failed=0 speed=212.8 chunks/s ETA=2.9 min
[PROGRESS] 92,000/128,623 71.53% bad=9 repaired=9 failed=0 speed=213.3 chunks/s ETA=2.9 min
[PROGRESS] 92,250/128,623 71.72% bad=9 repaired=9 failed=0 speed=213.7 chunks/s ETA=2.8 min
[PROGRESS] 92,500/128,623 71.92% bad=9 repaired=9 failed=0 speed=214.1 chunks/s ETA=2.8 min
[PROGRESS] 92,750/128,623 72.11% bad=9 repaired=9 failed=0 speed=214.5 chunks/s ETA=2.8 min
[PROGRESS] 93,000/128,623 72.30% bad=9 repaired=9 failed=0 speed=214.9 chunks/s ETA=2.8 min
[PROGRESS] 93,250/128,623 72.50% bad=9 repaired=9 failed=0 speed=215.3 chunks/s ETA=2.7 min
[PROGRESS] 93,500/128,623 72.69% bad=9 repaired=9 failed=0 speed=215.7 chunks/s ETA=2.7 min

[VARIABLE] mean_sea_level_pressure chunks=11,693
[PROGRESS] 93,750/128,623 72.89% bad=9 repaired=9 failed=0 speed=216.2 chunks/s ETA=2.7 min
[PROGRESS] 94,000/128,623 73.08% bad=9 repaired=9 failed=0 speed=216.8 chunks/s ETA=2.7 min
[PROGRESS] 94,250/128,623 73.28% bad=9 repaired=9 failed=0 speed=217.4 chunks/s ETA=2.6 min
[PROGRESS] 94,500/128,623 73.47% bad=9 repaired=9 failed=0 speed=217.9 chunks/s ETA=2.6 min
[PROGRESS] 94,750/128,623 73.66% bad=9 repaired=9 failed=0 speed=218.5 chunks/s ETA=2.6 min
[PROGRESS] 95,000/128,623 73.86% bad=9 repaired=9 failed=0 speed=219.0 chunks/s ETA=2.6 min
[PROGRESS] 95,250/128,623 74.05% bad=9 repaired=9 failed=0 speed=219.6 chunks/s ETA=2.5 min
[PROGRESS] 95,500/128,623 74.25% bad=9 repaired=9 failed=0 speed=220.2 chunks/s ETA=2.5 min
[PROGRESS] 95,750/128,623 74.44% bad=9 repaired=9 failed=0 speed=220.7 chunks/s ETA=2.5 min
[PROGRESS] 96,000/128,623 74.64% bad=9 repaired=9 failed=0 speed=221.3 chunks/s ETA=2.5 min
[PROGRESS] 96,250/128,623 74.83% bad=9 repaired=9 failed=0 speed=221.9 chunks/s ETA=2.4 min
[PROGRESS] 96,500/128,623 75.03% bad=9 repaired=9 failed=0 speed=222.4 chunks/s ETA=2.4 min
[PROGRESS] 96,750/128,623 75.22% bad=9 repaired=9 failed=0 speed=223.0 chunks/s ETA=2.4 min
[PROGRESS] 97,000/128,623 75.41% bad=9 repaired=9 failed=0 speed=223.6 chunks/s ETA=2.4 min
[PROGRESS] 97,250/128,623 75.61% bad=9 repaired=9 failed=0 speed=224.1 chunks/s ETA=2.3 min
[PROGRESS] 97,500/128,623 75.80% bad=9 repaired=9 failed=0 speed=224.4 chunks/s ETA=2.3 min
[PROGRESS] 97,750/128,623 76.00% bad=9 repaired=9 failed=0 speed=224.8 chunks/s ETA=2.3 min
[PROGRESS] 98,000/128,623 76.19% bad=9 repaired=9 failed=0 speed=225.2 chunks/s ETA=2.3 min
[PROGRESS] 98,250/128,623 76.39% bad=9 repaired=9 failed=0 speed=225.5 chunks/s ETA=2.2 min
[PROGRESS] 98,500/128,623 76.58% bad=9 repaired=9 failed=0 speed=225.9 chunks/s ETA=2.2 min
[PROGRESS] 98,750/128,623 76.77% bad=9 repaired=9 failed=0 speed=226.3 chunks/s ETA=2.2 min
[PROGRESS] 99,000/128,623 76.97% bad=9 repaired=9 failed=0 speed=226.7 chunks/s ETA=2.2 min
[PROGRESS] 99,250/128,623 77.16% bad=9 repaired=9 failed=0 speed=227.1 chunks/s ETA=2.2 min
[PROGRESS] 99,500/128,623 77.36% bad=9 repaired=9 failed=0 speed=227.5 chunks/s ETA=2.1 min
[PROGRESS] 99,750/128,623 77.55% bad=9 repaired=9 failed=0 speed=227.9 chunks/s ETA=2.1 min
[PROGRESS] 100,000/128,623 77.75% bad=9 repaired=9 failed=0 speed=228.3 chunks/s ETA=2.1 min
[PROGRESS] 100,250/128,623 77.94% bad=9 repaired=9 failed=0 speed=228.6 chunks/s ETA=2.1 min
[PROGRESS] 100,500/128,623 78.14% bad=9 repaired=9 failed=0 speed=229.0 chunks/s ETA=2.0 min
[PROGRESS] 100,750/128,623 78.33% bad=9 repaired=9 failed=0 speed=229.4 chunks/s ETA=2.0 min
[PROGRESS] 101,000/128,623 78.52% bad=9 repaired=9 failed=0 speed=229.9 chunks/s ETA=2.0 min
[PROGRESS] 101,250/128,623 78.72% bad=9 repaired=9 failed=0 speed=230.3 chunks/s ETA=2.0 min
[PROGRESS] 101,500/128,623 78.91% bad=9 repaired=9 failed=0 speed=230.7 chunks/s ETA=2.0 min
[PROGRESS] 101,750/128,623 79.11% bad=9 repaired=9 failed=0 speed=231.1 chunks/s ETA=1.9 min
[PROGRESS] 102,000/128,623 79.30% bad=9 repaired=9 failed=0 speed=231.5 chunks/s ETA=1.9 min
[PROGRESS] 102,250/128,623 79.50% bad=9 repaired=9 failed=0 speed=231.9 chunks/s ETA=1.9 min
[PROGRESS] 102,500/128,623 79.69% bad=9 repaired=9 failed=0 speed=232.3 chunks/s ETA=1.9 min
[PROGRESS] 102,750/128,623 79.88% bad=9 repaired=9 failed=0 speed=232.7 chunks/s ETA=1.9 min
[PROGRESS] 103,000/128,623 80.08% bad=9 repaired=9 failed=0 speed=233.1 chunks/s ETA=1.8 min
[PROGRESS] 103,250/128,623 80.27% bad=9 repaired=9 failed=0 speed=233.5 chunks/s ETA=1.8 min
[PROGRESS] 103,500/128,623 80.47% bad=9 repaired=9 failed=0 speed=233.9 chunks/s ETA=1.8 min
[PROGRESS] 103,750/128,623 80.66% bad=9 repaired=9 failed=0 speed=234.4 chunks/s ETA=1.8 min
[PROGRESS] 104,000/128,623 80.86% bad=9 repaired=9 failed=0 speed=234.8 chunks/s ETA=1.7 min
